County,Office,Candidate,Party,District,Votes
,County Auditor,Rachel Bernard,Independent,Owen,1821
,County Auditor,Audrey Freeland,Republican,Benton,3549
,County Auditor,BRENDA FURRY,Republican,Vermillion,3818
,County Auditor,Cheryl Alcorn,Republican,Cass,12292
,County Auditor,Christina Sriver,Republican,Fulton,6837
,County Auditor,COLLEEN  CHAMBERS,Republican,Fountain,6878
,County Auditor,Donya G. Jordan,Republican,Jasper,12816
,County Auditor,Janet S Chadwell,Republican,Decatur,10591
,County Auditor,Jessica Secrease,Republican,Howard,31180
,County Auditor,Jessica Staggs,Republican,Lawrence,17045
,County Auditor,KRISTINA (WARREN) ALEXANDER,Republican,Putnam,13793
,County Auditor,Laura M Wheeler,Republican,Pulaski,3700
,County Auditor,Lonnie Stroud,Republican,Orange,7188
,County Auditor,Marcie J Shepherd,Republican,Wabash,12033
,County Auditor,Mary Eckelbarger Brown,Republican,Miami,11953
,County Auditor,Mike Luciani,Republican,Boone,24118
,County Auditor,Mike Watkins,Republican,Gibson,13341
,County Auditor,Nancy Marsh,Republican,Hendricks,56848
,County Auditor,Rebecca L Coleman,Republican,Vigo,22181
,County Auditor,Rick Gardner,Republican,Madison,32086
,County Auditor,Robin M. Mills,Republican,Hamilton,113772
,County Auditor,Roger D Hurt,Republican,Jackson,16382
,County Auditor,Sheila K. Reeves,Republican,Owen,7054
,County Auditor,Tammy A Justice,Republican,Rush,6708
,County Auditor,Timothy J. Stabosz,Republican,LaPorte,23986
,County Auditor,Tony Mellencamp,Republican,Adams,12031
,County Recorder,Criston L Zehner,Democratic,Pulaski,1287
,County Recorder,JANE A JAMES,Democratic,Perry,5402
,County Recorder,Jon E Wright,Democratic,Spencer,2935
,County Recorder,Kenneth (Ken) Mcwilliams,Democratic,Vanderburgh,29441
,County Recorder,Lois SosinskI,Democratic,LaPorte,23633
,County Recorder,Mary Beth WisniewskI,Democratic,St. Joseph,72860
,County Recorder,Molly O'Connor,Democratic,Jefferson,8363
,County Recorder,Nancy J Barker,Democratic,Switzerland,1539
,County Recorder,Paisley J Rew,Democratic,Harrison,4780
,County Recorder,REGINA (GINA) PIMENTEL,Democratic,Lake,126089
,County Recorder,Sheryl Jent,Democratic,Scott,6083
,County Recorder,Stacee (Joy) Todd,Democratic,Vigo,20457
,County Recorder,Yolonda D Bostic,Democratic,Daviess,2185
,County Recorder, Paul Wilson,Republican,Miami,11913
,County Recorder,(Patricia) Nichole Keller,Republican,Clay,10312
,County Recorder,Carolyn Bertsch,Republican,Wells,12088
,County Recorder,Dawn M Naylor,Republican,Switzerland,2482
,County Recorder,Debbie StuckI,Republican,Vanderburgh,46366
,County Recorder,DebbieDennison,Republican,Harrison,14621
,County Recorder,Deborah S (Debbie) Ottinger,Republican,Boone,29321
,County Recorder,Diana Winsted-Smith,Republican,Vigo,21326
,County Recorder,Elizabeth "Beth" J. Keeney,Republican,Clinton,10851
,County Recorder,Elzbieta (Ela) Bilderback,Republican,LaPorte,23883
,County Recorder,Glenda L. Wallpe,Republican,Benton,3503
,County Recorder,Hollie R Maxie,Republican,Franklin,9958
,County Recorder,Jana K. Gray,Republican,Morgan,29652
,County Recorder,Jennifer Bentley,Republican,Montgomery,14701
,County Recorder,Kathy D Foy,Republican,Grant,20988
,County Recorder,Kelli Schriver,Republican,Blackford,4008
,County Recorder,Kimberly K Grow,Republican,Jasper,12731
,County Recorder,Leta  Hullinger,Republican,DeKalb,15872
,County Recorder,Lois Naville Endris,Republican,Floyd,31370
,County Recorder,MARY ALICE GREGG,Republican,Parke,5977
,County Recorder,Mary Ann McCoy,Republican,Ripley,11923
,County Recorder,Mary E Smith,Republican,Brown,6888
,County Recorder,Myron Rainey,Republican,Lawrence,17264
,County Recorder,Patricia A. (Pat) Brooks,Republican,Warrick,25513
,County Recorder,Penny J Titus,Republican,Carroll,8639
,County Recorder,Rhonda Sanders,Republican,Martin,4230
,County Recorder,Rose Hejl,Republican,Lake,85406
,County Recorder,Rosetta Newton,Republican,Daviess,9411
,County Recorder,Sandy Hill,Republican,Orange,7284
,County Recorder,Sheila D Hook,Republican,Tipton,6860
,County Recorder,Sheila Getz,Republican,LaGrange,8790
,County Recorder,Susan J (Sue) Fox,Republican,Pulaski,4388
,County Recorder,Thomas R Krueckeberg,Republican,Adams,11987
,County Recorder,Vicki L Brauns,Republican,Spencer,7600
,County Treasurer,Annette Vancuren,Democratic,Hendricks,28573
,County Treasurer,Barbara A. Lawrence,Democratic,Marion,239632
,County Treasurer,Brenda J Hall,Democratic,Knox,5506
,County Treasurer,Dana Conard Hunt,Democratic,Elkhart,23015
,County Treasurer,Dana Turner,Democratic,Blackford,2818
,County Treasurer,Edward L Foster Sr.,Democratic,Howard,12344
,County Treasurer,GAY ANN HARNEY,Democratic,Spencer,4033
,County Treasurer,Jake Madore,Democratic,Hamilton,71660
,County Treasurer,Janice S Mitchell,Democratic,Crawford,2577
,County Treasurer,Jessica Mcclellan,Democratic,Monroe,42854
,County Treasurer,Jody L Hoover,Democratic,Pike,2123
,County Treasurer,John Hutchinson,Democratic,Jefferson,4202
,County Treasurer,Joie WinskI,Democratic,LaPorte,24286
,County Treasurer,Lauren Hernandez-DeCrane,Democratic,Boone,12160
,County Treasurer,Lori Swinford,Democratic,Vermillion,2571
,County Treasurer,Michelle Clancy,Democratic,Porter,66033
,County Treasurer,Missy Applegate,Democratic,Scott,6296
,County Treasurer,Monica F Miller,Democratic,Starke,3984
,County Treasurer,Nancy S Allsup,Democratic,Vigo,20392
,County Treasurer,Rebecca "Becky"  Lang,Democratic,Floyd,18176
,County Treasurer,SHIRLEY BATT,Democratic,Washington,4632
,County Treasurer,Tim Swager ,Democratic,St. Joseph,71197
,County Treasurer,Adam M. Novotney,Republican,Marion,144137
,County Treasurer,Andy Vasquez Bond,Republican,Brown,6896
,County Treasurer,Angie Johnson Birchmeier,Republican,Marshall,16175
,County Treasurer,Annette Flora Phillippo,Republican,Miami,11581
,County Treasurer,Barb Kaffenberger-Scherzinger,Republican,Dearborn,22770
,County Treasurer,Barbara Ann Nydegger,Republican,White,9352
,County Treasurer,Billie Deel,Republican,Orange,7256
,County Treasurer,Brenda S Hamilton,Republican,Huntington,14994
,County Treasurer,Cendy L Joslin,Republican,Knox,10100
,County Treasurer,Christie Branch,Republican,Howard,26904
,County Treasurer,Cindy D. Howard,Republican,Cass,12229
,County Treasurer,Diane Hoeing Wenning,Republican,Decatur,10728
,County Treasurer,Dottie Thomas,Republican,Vanderburgh,55303
,County Treasurer,ED CARROLL ,Republican,Delaware,33958
,County Treasurer,Edgar B Dyer ,Republican,Adams,11779
,County Treasurer,Elaine Jones,Republican,Spencer,6574
,County Treasurer,Florinda A. Pruitt,Republican,Vermillion,4758
,County Treasurer,Gayle A Rayles,Republican,Switzerland,3456
,County Treasurer,Gina M Brettnacher,Republican,Clinton,10639
,County Treasurer,JAMESI F LEMON,Republican,LaGrange,8834
,County Treasurer,Jamie K Chapman,Republican,Daviess,10531
,County Treasurer,Jane L Klemme,Republican,Hancock,34028
,County Treasurer,Janna Johnson,Republican,Sullivan,7184
,County Treasurer,Jenni Swartz,Republican,Newton,5542
,County Treasurer,Jennifer Weston,Republican,Tippecanoe,50554
,County Treasurer,Jodi Harr,Republican,Rush,6670
,County Treasurer,Jody Edwards,Republican,Lawrence,17125
,County Treasurer,John Matwyshyn,Republican,LaPorte,23227
,County Treasurer,Jolene Beneker,Republican,Franklin,9979
,County Treasurer,Josie Swalls-Thompson,Republican,Vigo,21687
,County Treasurer,Judy M Beem,Republican,Warrick,25797
,County Treasurer,Katherine L Easterday,Republican,Fulton,7652
,County Treasurer,KATHY  HOHENSTREITER,Republican,Jackson,16487
,County Treasurer,KATHY MINNICK,Republican,Putnam,13751
,County Treasurer,Kathy Peeper,Republican,Wells,12190
,County Treasurer,Kay Gatton,Republican,Whitley,14702
,County Treasurer,KIM SHORTER,Republican,Parke,5906
,County Treasurer,Kitty Merkley,Republican,Dubois,17964
,County Treasurer,Lauri Manns Venckus,Republican,Starke,6011
,County Treasurer,Lavonda  Glover,Republican,Fayette,8187
,County Treasurer,LINDA M ROSENBERGER,Republican,Union,2986
,County Treasurer,Lisa Vestal,Republican,Ripley,11965
,County Treasurer,Lori Carrico,Republican,Martin,4169
,County Treasurer,LORI HEIDENREICH,Republican,Warren,3908
,County Treasurer,LUANN LAYMAN,Republican,Wabash,12113
,County Treasurer,Melinda Hallgarth- Klopp,Republican,Jefferson,9953
,County Treasurer,Melinda S Smith,Republican,Ohio,2534
,County Treasurer,Michele Ann Graves,Republican,Johnson,59628
,County Treasurer,MISSY BIXLER,Republican,Steuben,13077
,County Treasurer,Nancy Funk,Republican,Wayne,20951
,County Treasurer,Nancy J. Coats,Republican,Washington,7245
,County Treasurer,Nicole K (Nikki) Baldwin,Republican,Boone,25023
,County Treasurer,Nicole L Stahl,Republican,Greene,12456
,County Treasurer,Paula (Alexander) Miller,Republican,Jay,7202
,County Treasurer,Rhonda J Helser,Republican,Kosciusko,29306
,County Treasurer,Sandra S Wilcox,Republican,DeKalb,16096
,County Treasurer,Shawn M Shelley,Republican,Hendricks,56340
,County Treasurer,Shelley Mawhorter,Republican,Noble,15549
,County Treasurer,Steve Burks,Republican,Floyd,22316
,County Treasurer,Susan (Wheeler) Brittain,Republican,Pike,4040
,County Treasurer,SUSAN A COFFING,Republican,Fountain,6880
,County Treasurer,Susan Byer,Republican,Hamilton,115043
,County Treasurer,Tammy McEwan,Republican,Jasper,12808
,County Treasurer,Teresa L Bryant,Republican,Pulaski,4716
,County Treasurer,Terry Dalton-Clelland,Republican,Morgan,29545
,County Treasurer,Tiffany N Griffith,Republican,Grant,20896
,County Treasurer,Tina Belding Brison,Republican,Jennings,9876
,County Treasurer,Tina M Bontrager,Republican,Elkhart,50287
,County Treasurer,Vicki Peerman,Republican,Posey,11092
,County Treasurer,William Royce,Republican,Allen,118853
,County Coroner,Angela (Angie) Zeck,Democratic,Cass,6579
,County Coroner,Anthony  Oxendine,Democratic,Floyd,15772
,County Coroner,Ashley E Mcalister,Democratic,Switzerland,1128
,County Coroner,Brian A Hagen,Democratic,Knox,6682
,County Coroner,Chris A Brown,Democratic,Crawford,2787
,County Coroner,CLAY N. MACK,Democratic,Vermillion,3388
,County Coroner,Dalton Baker,Democratic,Scott,3260
,County Coroner,Danielle Dunnichay-Noone,Democratic,Madison,21781
,County Coroner,DAVID J PASTRICK,Democratic,Lake,146842
,County Coroner,Idris Busari,Democratic,Elkhart,22271
,County Coroner,Janie Myers,Democratic,Vigo,21162
,County Coroner,Jeffrey Walters,Democratic,Jackson,5897
,County Coroner,Joani Shields,Democratic,Monroe,44167
,County Coroner,Karhma (Ian) Dent,Democratic,Randolph,2123
,County Coroner,Kathy Thorpe,Democratic,Morgan,7756
,County Coroner,Lauren Vogel,Democratic,Steuben,3852
,County Coroner,Lee Sloan,Democratic,Marion,287788
,County Coroner,Mark P. Baker,Democratic,LaPorte,20571
,County Coroner,Mary Ann Dudley,Democratic,Sullivan,3925
,County Coroner,Michael J McGann,Democratic,St. Joseph,55169
,County Coroner,Michelle M Oakerson,Democratic,Hendricks,29274
,County Coroner,Nick Harris Henson,Democratic,Pike,2541
,County Coroner,Perry A Wainman,Democratic,Putnam,4892
,County Coroner,Richard Cannon Sr.,Democratic,Clark,19624
,County Coroner,Rodney L Nay,Democratic,Jefferson,9843
,County Coroner,Steve Lockyear,Democratic,Vanderburgh,51981
,County Coroner,Tina M. Franklin,Democratic,Martin,1506
,County Coroner,Robert Brent Meadows,Libertarian,Wayne,7893
,County Coroner,Alden W Rudicel,Republican,Jennings,10360
,County Coroner,Andrew R. Boersma,Republican,Jasper,12962
,County Coroner,Anthony W Ciriello,Republican,Kosciusko,29630
,County Coroner,Barrett W Doyle,Republican,Gibson,13328
,County Coroner,Ben Bosley,Republican,Orange,7280
,County Coroner,Brenda J McMahan,Republican,Rush,6716
,County Coroner,Cameron McCreary,Republican,Dearborn,22795
,County Coroner,Carrie Costello,Republican,Tippecanoe,50147
,County Coroner,Cathy L Evans,Republican,Martin,3529
,County Coroner,Clayton R. Nolting,Republican,Bartholomew,28116
,County Coroner,Clinton W Earls,Republican,Switzerland,2934
,County Coroner,Cord Coyle,Republican,Fayette,8239
,County Coroner,Darin Edward James,Republican,Randolph,8593
,County Coroner,Darren Forman,Republican,Montgomery,14790
,County Coroner,David Stillinger,Republican,Hancock,34112
,County Coroner,Dean L Amstutz,Republican,Adams,12013
,County Coroner,Edward "Ed" Cripe,Republican,Clinton,10741
,County Coroner,Elizabeth Freeman-Cammack,Republican,Lawrence,17138
,County Coroner,George L Franklin Jr.,Republican,Cass,8474
,County Coroner,Greg Roution,Republican,Floyd,24296
,County Coroner,Hilarie Gaskill,Republican,Wells,12116
,County Coroner,James P. Elliott,Republican,Elkhart,50822
,County Coroner,Jason Bailey,Republican,Ripley,11787
,County Coroner,Jeremy R Mckim,Republican,Harrison,16242
,County Coroner,Jeri D Good,Republican,Fulton,7841
,County Coroner,John R Grolich,Republican,Marshall,16329
,County Coroner,JOHN WHEAT,Republican,Vermillion,3959
,County Coroner,Jon Brandenberger,Republican,Allen,122169
,County Coroner,JON MYERS,Republican,Putnam,11297
,County Coroner,JOSHUA D WHITTINGTON,Republican,Fountain,0
,County Coroner,Justin R Sparks,Republican,Boone,29168
,County Coroner,Karen L Donovan,Republican,Knox,8871
,County Coroner,Katie M Schuck,Republican,Dubois,18247
,County Coroner,Ken Brown,Republican,Wabash,12051
,County Coroner,KENNETH D MYERS,Republican,LaGrange,8916
,County Coroner,Kevin A Fouche,Republican,Wayne,15756
,County Coroner,KRISTIN ENOCH,Republican,Carroll,8686
,County Coroner,Lisa S Strebig,Republican,Noble,15487
,County Coroner,Lonnie E Noble Sr.,Republican,Scott,6474
,County Coroner,Lynn Swanson,Republican,LaPorte,27060
,County Coroner,Matthew J. Rosenbarger,Republican,Benton,3578
,County Coroner,Michael D. Pruitt,Republican,Johnson,59021
,County Coroner,Michael E Brewster,Republican,Jay,7254
,County Coroner,Michael P Ellis,Republican,Morgan,27116
,County Coroner,Nicholas (Nick) French,Republican,Clay,10655
,County Coroner,Patricia Jordan ,Republican,St. Joseph,57168
,County Coroner,PAUL FOSTER,Republican,Jackson,12850
,County Coroner,Peg Schell,Republican,Washington,9891
,County Coroner,Ray Brooks,Republican,Pike,3563
,County Coroner,Rebecca A Jackson,Republican,Ohio,2534
,County Coroner,Ricky J Morphew,Republican,Hendricks,55653
,County Coroner,Robert E Leavitt ,Republican,Union,2896
,County Coroner,Robert L Nichols,Republican,Tipton,6895
,County Coroner,Rod Jackson,Republican,Huntington,15166
,County Coroner,RODNEY W SNYDER,Republican,Steuben,11874
,County Coroner,Sarah A Seaton,Republican,Warrick,25990
,County Coroner,Scott A Mccord,Republican,Newton,5589
,County Coroner,Scott A Smith,Republican,Whitley,14742
,County Coroner,Stacey Paul Guffey,Republican,Henry,18368
,County Coroner,Stephen Lynn Cullen,Republican,Daviess,10608
,County Coroner,Steven J Seele,Republican,Howard,31666
,County Coroner,Theodore H (Ted) Lemke,Republican,Vigo,20971
,County Coroner,Tracy Tackett,Republican,Sullivan,4648
,County Coroner,Troy A Abbott,Republican,Madison,29494
,County Coroner,William W "Billy"  Scott,Republican,Clark,35923
,County Surveyor,Andrew Vinson,Democratic,Cass,4901
,County Surveyor,Anthony (Tony) Charles Hendricks,Democratic,LaPorte,30854
,County Surveyor,BILL CRASE Jr.,Democratic,Starke,5258
,County Surveyor,BILL EMERSON JR,Democratic,Lake,144688
,County Surveyor,Blane E Boyd,Democratic,Sullivan,3452
,County Surveyor,Brad Beer  ,Democratic,Hamilton,74752
,County Surveyor,Brian W Craig,Democratic,Switzerland,1464
,County Surveyor,David K Harden,Democratic,Brown,5588
,County Surveyor,Debra S. Jenkins,Democratic,Marion,239274
,County Surveyor,GARY S PRATER,Democratic,Delaware,19059
,County Surveyor,Glenn Bailey,Democratic,Franklin,2503
,County Surveyor,JARED DREHER,Democratic,Vermillion,3155
,County Surveyor,Jeffrey Mathewson,Democratic,Floyd,15767
,County Surveyor,JOHN ( WOODY ) WOOD,Democratic,Spencer,3344
,County Surveyor,John Manship,Democratic,Madison,20409
,County Surveyor,John R McNamara,Democratic,St. Joseph,72096
,County Surveyor,Jon Kuner,Democratic,Jefferson,4823
,County Surveyor,Kevin D. Breitzke,Democratic,Porter,66926
,County Surveyor,Michael Bennett,Democratic,Elkhart,24263
,County Surveyor,Nicholas Nelson,Democratic,Allen,64837
,County Surveyor,Trohn Enright-Randolph,Democratic,Monroe,43005
